                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7767,                 3.6842,                  4.318,                0.00263,                0.06076,                0.00225,                0.00083,                 3.9745,                 3.5774,                 4.0635,                 0.0829,                 0.0019,                 0.0019
                      1,                 3.7011,                 2.8929,                 4.1115,                0.00464,                0.10243,                0.00379,                0.00102,                 3.9309,                 3.5267,                 4.0205,               0.064771,              0.0037713,              0.0037713
                      2,                 3.3463,                  2.587,                 3.7161,                0.00247,                0.06076,                0.00224,                0.00086,                 3.9351,                 3.5964,                 4.0111,               0.046511,              0.0055106,              0.0055106
                      3,                 3.0128,                 2.3901,                 3.3913,                0.00239,                0.05903,                0.00204,                 0.0008,                 3.9368,                 3.6716,                 4.0124,               0.028118,              0.0071179,              0.0071179
                      4,                 2.7001,                 2.1704,                 3.0455,                0.00276,                0.09028,                0.00383,                0.00108,                 3.9294,                 3.7612,                  4.019,              0.0095932,              0.0085932,              0.0085932
                      5,                 2.5187,                 1.9999,                 2.8709,                0.01011,                0.23294,                0.00714,                0.00156,                 3.7338,                 3.6355,                 3.9851,                0.00835,                0.00835,                0.00835
