                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.614,                 3.8522,                 4.3841,                0.00281,                0.09028,                0.00314,                0.00098,                 4.0091,                  3.702,                 4.0869,                 0.0829,                 0.0019,                 0.0019
                      1,                 3.4193,                 3.2091,                 4.1925,                0.00281,                0.09028,                0.00266,                0.00081,                 3.9651,                 3.6288,                  4.047,               0.064514,              0.0035139,              0.0035139
                      2,                 3.2771,                 2.6824,                  3.844,                0.00278,                0.09028,                0.00323,                0.00119,                 3.9627,                 3.6919,                 4.0433,               0.045732,              0.0047318,              0.0047318
